Folder,Object,Mangled Name,Demangled Name,Start Address
,,_ZNK2al11RootSercher17calcHeuristicCostEiiii,"al::RootSercher::calcHeuristicCost(int,int,int,int)const",0x71007fff6c
,,_ZNK2al11RootSercher15getConnectCountEv,al::RootSercher::getConnectCount(void)const,0x71007fffac
,,_ZNK2al11RootSercher15getConnectIndexEPiS1_iii,"al::RootSercher::getConnectIndex(int *,int *,int,int,int)const",0x71007fffb4
,,_ZNK2al11RootSercher10checkReachEii,"al::RootSercher::checkReach(int,int)const",0x7100800008
,,_ZNK2al11RootSercher8calcCostEiiPKNS_15RootSercherNodeE,"al::RootSercher::calcCost(int,int,al::RootSercherNode const*)const",0x7100800010
,AnimPlayerSkl.o,_ZN2al13AnimPlayerSkl9tryCreateEPKNS_18AnimPlayerInitInfoEi,"al::AnimPlayerSkl::tryCreate(al::AnimPlayerInitInfo const*,int)",0x7100800064
,,_ZN2al13AnimPlayerSkl10updateLastEv,al::AnimPlayerSkl::updateLast(void),0x71008000c0
,,_ZN2al13AnimPlayerSkl12startSklAnimEPKcS2_S2_S2_S2_S2_S2_,"al::AnimPlayerSkl::startSklAnim(char const*,char const*,char const*,char const*,char const*,char const*,char const*)",0x71008000f4
,,_ZN2al13AnimPlayerSkl17clearSklAnimBlendEv,al::AnimPlayerSkl::clearSklAnimBlend(void),0x710080064c
,,_ZN2al13AnimPlayerSkl10setSklAnimEPKci,"al::AnimPlayerSkl::setSklAnim(char const*,int)",0x71008006bc
,,_ZN2al13AnimPlayerSkl11calcSklAnimEv,al::AnimPlayerSkl::calcSklAnim(void),0x71008007a8
,,_ZN2al13AnimPlayerSkl10initInterpEPKc,al::AnimPlayerSkl::initInterp(char const*),0x7100800ca8
,,_ZN2al13AnimPlayerSkl21setSklAnimBlendWeightEif,"al::AnimPlayerSkl::setSklAnimBlendWeight(int,float)",0x7100800cfc
,,_ZNK2al13AnimPlayerSkl21getSklAnimBlendWeightEi,al::AnimPlayerSkl::getSklAnimBlendWeight(int)const,0x7100800d18
,,_ZNK2al13AnimPlayerSkl18getSklAnimBlendNumEv,al::AnimPlayerSkl::getSklAnimBlendNum(void)const,0x7100800d34
,,_ZNK2al13AnimPlayerSkl15getSklAnimFrameEi,al::AnimPlayerSkl::getSklAnimFrame(int)const,0x7100800d80
,,_ZNK2al13AnimPlayerSkl10getAnimObjEi,al::AnimPlayerSkl::getAnimObj(int)const,0x7100800db0
,,_ZN2al13AnimPlayerSkl15setSklAnimFrameEif,"al::AnimPlayerSkl::setSklAnimFrame(int,float)",0x7100800dcc
,,_ZN2al13AnimPlayerSkl10getAnimObjEi,al::AnimPlayerSkl::getAnimObj(int),0x7100800e20
,,_ZNK2al13AnimPlayerSkl18getSklAnimFrameMaxEi,al::AnimPlayerSkl::getSklAnimFrameMax(int)const,0x7100800e3c
,,_ZNK2al13AnimPlayerSkl18getSklAnimFrameMaxEPKc,al::AnimPlayerSkl::getSklAnimFrameMax(char const*)const,0x7100800e60
,,_ZNK2al13AnimPlayerSkl19getSklAnimFrameRateEi,al::AnimPlayerSkl::getSklAnimFrameRate(int)const,0x7100800e7c
,,_ZN2al13AnimPlayerSkl19setSklAnimFrameRateEif,"al::AnimPlayerSkl::setSklAnimFrameRate(int,float)",0x7100800eac
,,_ZNK2al13AnimPlayerSkl14isSklAnimExistEPKc,al::AnimPlayerSkl::isSklAnimExist(char const*)const,0x7100800ed8
,,_ZNK2al13AnimPlayerSkl12isSklAnimEndEi,al::AnimPlayerSkl::isSklAnimEnd(int)const,0x7100800ef8
,,_ZNK2al13AnimPlayerSkl16isSklAnimOneTimeEi,al::AnimPlayerSkl::isSklAnimOneTime(int)const,0x7100800f30
,,_ZNK2al13AnimPlayerSkl16isSklAnimOneTimeEPKc,al::AnimPlayerSkl::isSklAnimOneTime(char const*)const,0x7100800f5c
,,_ZNK2al13AnimPlayerSkl16isSklAnimPlayingEi,al::AnimPlayerSkl::isSklAnimPlaying(int)const,0x7100800f80
,,_ZNK2al13AnimPlayerSkl21getPlayingSklAnimNameEi,al::AnimPlayerSkl::getPlayingSklAnimName(int)const,0x7100800fa4
,,_ZN2al13AnimPlayerSkl6updateEv,al::AnimPlayerSkl::update(void),0x7100800fd8
,,_ZN2al13AnimPlayerSkl5resetEv,al::AnimPlayerSkl::reset(void),0x71008010b8
,,_ZN2al13AnimPlayerSkl22calcNeedUpdateAnimNextEv,al::AnimPlayerSkl::calcNeedUpdateAnimNext(void),0x71008010e0
,,_ZN2al13AnimPlayerSkl23prepareAnimInterpDirectEi,al::AnimPlayerSkl::prepareAnimInterpDirect(int),0x71008011b0
,,_ZN2al13AnimPlayerSkl15initPartialAnimEiii,"al::AnimPlayerSkl::initPartialAnim(int,int,int)",0x71008011d0
,,_ZNK2al13AnimPlayerSkl21getPartialAnimSlotNumEv,al::AnimPlayerSkl::getPartialAnimSlotNum(void)const,0x7100801620
,,_ZNK2al13AnimPlayerSkl23getJoitsAmountFromJointEPKc,al::AnimPlayerSkl::getJoitsAmountFromJoint(char const*)const,0x7100801638
,,_ZNK2nn3g3d11SkeletonObj13FindBoneIndexEPKc,nn::g3d::SkeletonObj::FindBoneIndex(char const*)const,0x7100801684
,,sub_71008017B0,,0x71008017b0
,,_ZN2al13AnimPlayerSkl19addPartialAnimJointEiPKcS2_,"al::AnimPlayerSkl::addPartialAnimJoint(int,char const*,char const*)",0x7100801830
,,_ZN2al13AnimPlayerSkl28addPartialAnimJointRecursiveEiPKc,"al::AnimPlayerSkl::addPartialAnimJointRecursive(int,char const*)",0x7100801964
,,sub_71008019B4,,0x71008019b4
,,_ZN2al13AnimPlayerSkl16startPartialAnimEPKciiPKNS_23SklAnimRetargettingInfoE,"al::AnimPlayerSkl::startPartialAnim(char const*,int,int,al::SklAnimRetargettingInfo const*)",0x7100801a78
,,_ZN2al13AnimPlayerSkl16clearPartialAnimEi,al::AnimPlayerSkl::clearPartialAnim(int),0x7100801be4
,,_ZN2al13AnimPlayerSkl18getPartialAnimInfoEi,al::AnimPlayerSkl::getPartialAnimInfo(int),0x7100801c08
,,_ZNK2al13AnimPlayerSkl16isPartialAnimEndEi,al::AnimPlayerSkl::isPartialAnimEnd(int)const,0x7100801c24
,,_ZNK2al13AnimPlayerSkl17getPartialAnimObjEi,al::AnimPlayerSkl::getPartialAnimObj(int)const,0x7100801c60
,,_ZNK2al13AnimPlayerSkl20isPartialAnimOneTimeEi,al::AnimPlayerSkl::isPartialAnimOneTime(int)const,0x7100801c80
,,_ZNK2al13AnimPlayerSkl21isPartialAnimAttachedEi,al::AnimPlayerSkl::isPartialAnimAttached(int)const,0x7100801cb8
,,_ZNK2al13AnimPlayerSkl18getPartialAnimInfoEi,al::AnimPlayerSkl::getPartialAnimInfo(int)const,0x7100801cd8
,,_ZNK2al13AnimPlayerSkl28getPlayingPartialSklAnimNameEi,al::AnimPlayerSkl::getPlayingPartialSklAnimName(int)const,0x7100801cf4
,,_ZNK2al13AnimPlayerSkl19getPartialAnimFrameEi,al::AnimPlayerSkl::getPartialAnimFrame(int)const,0x7100801d20
,,_ZN2al13AnimPlayerSkl19setPartialAnimFrameEif,"al::AnimPlayerSkl::setPartialAnimFrame(int,float)",0x7100801d48
,,_ZN2al13AnimPlayerSkl17getPartialAnimObjEi,al::AnimPlayerSkl::getPartialAnimObj(int),0x7100801dac
,,_ZNK2al13AnimPlayerSkl23getPartialAnimFrameRateEi,al::AnimPlayerSkl::getPartialAnimFrameRate(int)const,0x7100801dcc
,,_ZN2al13AnimPlayerSkl23setPartialAnimFrameRateEif,"al::AnimPlayerSkl::setPartialAnimFrameRate(int,float)",0x7100801df4
,,_ZN2al13AnimPlayerSklC2EPKNS_18AnimPlayerInitInfoEi,"al::AnimPlayerSkl::AnimPlayerSkl(al::AnimPlayerInitInfo const*,int)",0x7100801e1c
,ModelAnimInterp.o,_ZN2al15ModelAnimInterpC1EPN2nn3g3d11SkeletonObjE,al::ModelAnimInterp::ModelAnimInterp(nn::g3d::SkeletonObj *),0x7100802208
,,_ZN2al15ModelAnimInterp6updateEv,al::ModelAnimInterp::update(void),0x710080226c
,,_ZN2al15ModelAnimInterp17prepareAnimInterpEPN2nn3g3d11SkeletonObjEPKcS6_RKN4sead6BufferIPNS2_15SkeletalAnimObjEEE,"al::ModelAnimInterp::prepareAnimInterp(nn::g3d::SkeletonObj *,char const*,char const*,sead::Buffer<nn::g3d::SkeletalAnimObj *> const&)",0x7100802280
,,_ZN2al15ModelAnimInterp17prepareAnimInterpEPN2nn3g3d11SkeletonObjEiRKN4sead6BufferIPNS2_15SkeletalAnimObjEEE,"al::ModelAnimInterp::prepareAnimInterp(nn::g3d::SkeletonObj *,int,sead::Buffer<nn::g3d::SkeletalAnimObj *> const&)",0x7100802390
,,_ZN2al15ModelAnimInterp15prepareNoInterpEv,al::ModelAnimInterp::prepareNoInterp(void),0x7100802490
,,_ZN2al15ModelAnimInterp15initWithArcPathEPKci,"al::ModelAnimInterp::initWithArcPath(char const*,int)",0x7100802498
,,_ZNK2al15ModelAnimInterp10interpAnimEPN2nn3g3d11SkeletonObjE,al::ModelAnimInterp::interpAnim(nn::g3d::SkeletonObj *)const,0x71008024a0
,,_ZN4sead18Matrix34CalcCommonIfE7slerpToERNS_9BaseMtx34IfEERKS3_S6_f,"sead::Matrix34CalcCommon<float>::slerpTo(sead::BaseMtx34<float> &,sead::BaseMtx34<float> const&,sead::BaseMtx34<float> const&,float)",0x71008026f4
,,_ZN2al25ModelAnimInterpInfoHolderC2Ev,al::ModelAnimInterpInfoHolder::ModelAnimInterpInfoHolder(void),0x71008028d8
,,_ZN2al25ModelAnimInterpInfoHolder15initWithArcPathEPKci,"al::ModelAnimInterpInfoHolder::initWithArcPath(char const*,int)",0x710080290c
,,_ZN4sead10StrTreeMapILi64EiE6insertERKNS_14SafeStringBaseIcEERKi,"sead::StrTreeMap<64,int>::insert(sead::SafeStringBase<char> const&,int const&)",0x7100802ad0
,,_ZNK2al25ModelAnimInterpInfoHolder14getInterpFrameEPKcS2_,"al::ModelAnimInterpInfoHolder::getInterpFrame(char const*,char const*)const",0x7100802d4c
,,_ZN4sead10StrTreeMapILi64EiE4NodeD0Ev,"sead::StrTreeMap<64,int>::Node::~Node()",0x7100802f88
,,_ZN4sead10StrTreeMapILi64EiE4Node6erase_Ev,"sead::StrTreeMap<64,int>::Node::erase_(void)",0x7100802f8c
,SklAnimRetargettingInfo.o,_ZN2al23SklAnimRetargettingInfoC1EPKN2nn3g3d8ModelObjES5_RKN4sead7Vector3IfEE,"al::SklAnimRetargettingInfo::SklAnimRetargettingInfo(nn::g3d::ModelObj const*,nn::g3d::ModelObj const*,sead::Vector3<float> const&)",0x7100802fac
,,_ZN2al23SklAnimRetargettingInfoC2EPKN2nn3g3d11ResSkeletonES5_RKN4sead7Vector3IfEE,"al::SklAnimRetargettingInfo::SklAnimRetargettingInfo(nn::g3d::ResSkeleton const*,nn::g3d::ResSkeleton const*,sead::Vector3<float> const&)",0x710080327c
,,_ZN2al23SklAnimRetargettingInfoC2EPKN2nn3g3d11ResSkeletonERKNS_9ByamlIterEPKcRKN4sead7Vector3IfEE,"al::SklAnimRetargettingInfo::SklAnimRetargettingInfo(nn::g3d::ResSkeleton const*,al::ByamlIter const&,char const*,sead::Vector3<float> const&)",0x7100803538
,,_ZN2al23SklAnimRetargettingInfoC2ERKNS_9ByamlIterEPKcS5_RKN4sead7Vector3IfEE,"al::SklAnimRetargettingInfo::SklAnimRetargettingInfo(al::ByamlIter const&,char const*,char const*,sead::Vector3<float> const&)",0x71008036a8
,ApplicationMessageReceiver.o,_ZN2al26ApplicationMessageReceiverC2Ev,al::ApplicationMessageReceiver::ApplicationMessageReceiver(void),0x71008037ec
,,_ZN2al26ApplicationMessageReceiver4initEv,al::ApplicationMessageReceiver::init(void),0x71008037f8
,,_ZNK2al26ApplicationMessageReceiver16getOperationModeEv,al::ApplicationMessageReceiver::getOperationMode(void)const,0x7100803864
,,_ZNK2al26ApplicationMessageReceiver17getPerformaceModeEv,al::ApplicationMessageReceiver::getPerformaceMode(void)const,0x7100803888
,,_ZN2al26ApplicationMessageReceiver6updateEv,al::ApplicationMessageReceiver::update(void),0x71008038ac
,,_ZN2al26ApplicationMessageReceiver11procMessageEj,al::ApplicationMessageReceiver::procMessage(unsigned int),0x7100803940
Library/Area,AreaInitInfo.o,_ZN2al12AreaInitInfoC2Ev,al::AreaInitInfo::AreaInitInfo(void),0x71008039c4
,,_ZN2al12AreaInitInfoC2ERKNS_13PlacementInfoEPNS_19StageSwitchDirectorEPNS_14SceneObjHolderE,"al::AreaInitInfo::AreaInitInfo(al::PlacementInfo const&,al::StageSwitchDirector *,al::SceneObjHolder *)",0x71008039e8
,,_ZN2al12AreaInitInfoC1ERKNS_13PlacementInfoERKS0_,"al::AreaInitInfo::AreaInitInfo(al::PlacementInfo const&,al::AreaInitInfo const&)",0x7100803a10
,,_ZN2al12AreaInitInfo3setERKNS_13PlacementInfoEPNS_19StageSwitchDirectorEPNS_14SceneObjHolderE,"al::AreaInitInfo::set(al::PlacementInfo const&,al::StageSwitchDirector *,al::SceneObjHolder *)",0x7100803a44
,AreaObj.o,_ZN2al7AreaObjC2EPKc,al::AreaObj::AreaObj(char const*),0x7100803a6c
,,_ZN2al7AreaObjC1EPKc,al::AreaObj::AreaObj(char const*),0x7100803b00
,,_ZN2al7AreaObj4initERKNS_12AreaInitInfoE,al::AreaObj::init(al::AreaInitInfo const&),0x7100803b60
,,_ZN2al7AreaObj8validateEv,al::AreaObj::validate(void),0x7100803cf4
,,_ZN2al7AreaObj10invalidateEv,al::AreaObj::invalidate(void),0x7100803d00
,,_ZN2al7AreaObj21initStageSwitchKeeperEv,al::AreaObj::initStageSwitchKeeper(void),0x7100803d08
,,_ZNK2al7AreaObj10isInVolumeERKN4sead7Vector3IfEE,al::AreaObj::isInVolume(sead::Vector3<float> const&)const,0x7100803d38
,,_ZNK2al7AreaObj16isInVolumeOffsetERKN4sead7Vector3IfEEf,"al::AreaObj::isInVolumeOffset(sead::Vector3<float> const&,float)const",0x7100803d58
,,_ZNK2al10FunctorV0MIPNS_7AreaObjEMS1_FvvEEclEv,"al::FunctorV0M<al::AreaObj *,void (al::AreaObj::*)(void)>::operator()(void)const",0x7100803d78
,,_ZNK2al10FunctorV0MIPNS_7AreaObjEMS1_FvvEE5cloneEv,"al::FunctorV0M<al::AreaObj *,void (al::AreaObj::*)(void)>::clone(void)const",0x7100803d94
,,_ZN2al10FunctorV0MIPNS_7AreaObjEMS1_FvvEED0Ev,"al::FunctorV0M<al::AreaObj *,void (al::AreaObj::*)(void)>::~FunctorV0M()",0x7100803de0
,AreaObjDirector.o,_ZN2al15AreaObjDirectorC2Ev,al::AreaObjDirector::AreaObjDirector(void),0x7100803de4
,,_ZN2al15AreaObjDirector4initEPKNS_14AreaObjFactoryE,al::AreaObjDirector::init(al::AreaObjFactory const*),0x7100803df4
,,_ZN2al15AreaObjDirector7endInitEv,al::AreaObjDirector::endInit(void),0x7100803ee0
,,_ZN2al15AreaObjDirector6updateEv,al::AreaObjDirector::update(void),0x7100803ee4
,,_ZN2al15AreaObjDirector9placementERKNS_12AreaInitInfoE,al::AreaObjDirector::placement(al::AreaInitInfo const&),0x7100803ef4
,,_ZN2al15AreaObjDirector9placementEPKNS_12AreaInitInfoEi,"al::AreaObjDirector::placement(al::AreaInitInfo const*,int)",0x7100803f28
,,_ZN2al15AreaObjDirector18createAreaObjGroupERKNS_12AreaInitInfoE,al::AreaObjDirector::createAreaObjGroup(al::AreaInitInfo const&),0x7100803fc4
,,_ZN2al15AreaObjDirector24createAreaObjGroupBufferEv,al::AreaObjDirector::createAreaObjGroupBuffer(void),0x7100804118
,,_ZN2al15AreaObjDirector16placementAreaObjERKNS_12AreaInitInfoE,al::AreaObjDirector::placementAreaObj(al::AreaInitInfo const&),0x71008042d8
,,_ZNK2al15AreaObjDirector15getAreaObjGroupEPKc,al::AreaObjDirector::getAreaObjGroup(char const*)const,0x7100804498
,,_ZNK2al15AreaObjDirector16isExistAreaGroupEPKc,al::AreaObjDirector::isExistAreaGroup(char const*)const,0x7100804518
,,_ZN2al15AreaObjDirector18getInVolumeAreaObjEPKcRKN4sead7Vector3IfEE,"al::AreaObjDirector::getInVolumeAreaObj(char const*,sead::Vector3<float> const&)",0x710080459c
,,_ZNK2al15AreaObjDirector21getMtxConnecterHolderEv,al::AreaObjDirector::getMtxConnecterHolder(void)const,0x710080464c
,,_ZN2al14AreaObjFactoryC2EPKc,al::AreaObjFactory::AreaObjFactory(char const*),0x7100804654
,,_ZNK2al14AreaObjFactory20tryFindAddBufferSizeEPKc,al::AreaObjFactory::tryFindAddBufferSize(char const*)const,0x7100804678
,AreaObjGroup.o,_ZN2al12AreaObjGroupC2EPKci,"al::AreaObjGroup::AreaObjGroup(char const*,int)",0x7100804708
,,_ZN2al12AreaObjGroup14incrementCountEv,al::AreaObjGroup::incrementCount(void),0x7100804714
,,_ZN2al12AreaObjGroup12createBufferEv,al::AreaObjGroup::createBuffer(void),0x7100804724
,,_ZN2al12AreaObjGroup12createBufferEi,al::AreaObjGroup::createBuffer(int),0x7100804768
,,_ZN2al12AreaObjGroup15registerAreaObjEPNS_7AreaObjE,al::AreaObjGroup::registerAreaObj(al::AreaObj *),0x71008047b0
,,_ZNK2al12AreaObjGroup10getAreaObjEi,al::AreaObjGroup::getAreaObj(int)const,0x71008047dc
,,_ZNK2al12AreaObjGroup18getInVolumeAreaObjERKN4sead7Vector3IfEE,al::AreaObjGroup::getInVolumeAreaObj(sead::Vector3<float> const&)const,0x71008047e8
,AreaObjMtxConnecter.o,_ZN2al19AreaObjMtxConnecterC1EPNS_7AreaObjERKNS_13PlacementInfoE,"al::AreaObjMtxConnecter::AreaObjMtxConnecter(al::AreaObj *,al::PlacementInfo const&)",0x7100804880
,,_ZN2al19AreaObjMtxConnecter15trySetParentMtxEPKN4sead8Matrix34IfEERKNS_13PlacementInfoEPKNS_13ValidatorBaseE,"al::AreaObjMtxConnecter::trySetParentMtx(sead::Matrix34<float> const*,al::PlacementInfo const&,al::ValidatorBase const*)",0x71008048c8
,,_ZN2al19AreaObjMtxConnecter16trySyncParentMtxEPKN4sead8Matrix34IfEERKNS_13PlacementInfoEPKNS_13ValidatorBaseE,"al::AreaObjMtxConnecter::trySyncParentMtx(sead::Matrix34<float> const*,al::PlacementInfo const&,al::ValidatorBase const*)",0x7100804938
,,_ZN2al19AreaObjMtxConnecter6updateEv,al::AreaObjMtxConnecter::update(void),0x71008049c0
,,_ZN2al25AreaObjMtxConnecterHolderC2Ei,al::AreaObjMtxConnecterHolder::AreaObjMtxConnecterHolder(int),0x7100804a50
,,_ZN2al25AreaObjMtxConnecterHolder10tryAddAreaEPNS_7AreaObjERKNS_13PlacementInfoE,"al::AreaObjMtxConnecterHolder::tryAddArea(al::AreaObj *,al::PlacementInfo const&)",0x7100804ac8
,,_ZN2al25AreaObjMtxConnecterHolder17registerParentMtxEPKN4sead8Matrix34IfEERKNS_13PlacementInfoEPKNS_13ValidatorBaseE,"al::AreaObjMtxConnecterHolder::registerParentMtx(sead::Matrix34<float> const*,al::PlacementInfo const&,al::ValidatorBase const*)",0x7100804b84
,,_ZN2al25AreaObjMtxConnecterHolder21registerSyncParentMtxEPKN4sead8Matrix34IfEERKNS_13PlacementInfoEPKNS_13ValidatorBaseE,"al::AreaObjMtxConnecterHolder::registerSyncParentMtx(sead::Matrix34<float> const*,al::PlacementInfo const&,al::ValidatorBase const*)",0x7100804c74
,,_ZN2al25AreaObjMtxConnecterHolder6updateEv,al::AreaObjMtxConnecterHolder::update(void),0x7100804d94
,AreaObjUtil.o,_ZN2al14tryFindAreaObjEPKNS_11IUseAreaObjEPKcRKN4sead7Vector3IfEE,"al::tryFindAreaObj(al::IUseAreaObj const*,char const*,sead::Vector3<float> const&)",0x7100804e4c
,,_ZN2al24tryFindAreaObjWithFilterEPKNS_11IUseAreaObjEPKcRKN4sead7Vector3IfEEPNS_17AreaObjFilterBaseE,"al::tryFindAreaObjWithFilter(al::IUseAreaObj const*,char const*,sead::Vector3<float> const&,al::AreaObjFilterBase *)",0x7100804e80
,,_ZN2al17tryFindAreaObjAllEPKNS_11IUseAreaObjEPKcRKN4sead7Vector3IfEEPNS_19AreaObjFindCallBackE,"al::tryFindAreaObjAll(al::IUseAreaObj const*,char const*,sead::Vector3<float> const&,al::AreaObjFindCallBack *)",0x7100804f5c
,,_ZN2al19tryFindAreaObjGroupEPKNS_11IUseAreaObjEPKc,"al::tryFindAreaObjGroup(al::IUseAreaObj const*,char const*)",0x710080501c
,,_ZN2al11isInAreaObjEPKNS_12AreaObjGroupERKN4sead7Vector3IfEE,"al::isInAreaObj(al::AreaObjGroup const*,sead::Vector3<float> const&)",0x7100805048
,,_ZN2al13tryGetAreaObjEPKNS_12AreaObjGroupERKN4sead7Vector3IfEE,"al::tryGetAreaObj(al::AreaObjGroup const*,sead::Vector3<float> const&)",0x7100805068
,,_ZN2al11isInAreaPosEPKNS_7AreaObjERKN4sead7Vector3IfEE,"al::isInAreaPos(al::AreaObj const*,sead::Vector3<float> const&)",0x7100805074
,,_ZN2al11isInAreaObjEPKNS_11IUseAreaObjEPKcRKN4sead7Vector3IfEE,"al::isInAreaObj(al::IUseAreaObj const*,char const*,sead::Vector3<float> const&)",0x7100805080
,,_ZN2al14isExistAreaObjEPKNS_11IUseAreaObjEPKc,"al::isExistAreaObj(al::IUseAreaObj const*,char const*)",0x71008050c0
,,_ZN2al13isInDeathAreaEPKNS_11IUseAreaObjERKN4sead7Vector3IfEE,"al::isInDeathArea(al::IUseAreaObj const*,sead::Vector3<float> const&)",0x71008050ec
,,_ZN2al13isInWaterAreaEPKNS_11IUseAreaObjERKN4sead7Vector3IfEE,"al::isInWaterArea(al::IUseAreaObj const*,sead::Vector3<float> const&)",0x710080512c
,,_ZN2al24isInPlayerControlOffAreaEPKNS_11IUseAreaObjERKN4sead7Vector3IfEE,"al::isInPlayerControlOffArea(al::IUseAreaObj const*,sead::Vector3<float> const&)",0x710080516c
,,_ZN2al14calcAreaObjNumEPKNS_11IUseAreaObjEPKc,"al::calcAreaObjNum(al::IUseAreaObj const*,char const*)",0x71008051ac
,,_ZN2al18calcWaterSinkDepthEPKNS_11IUseAreaObjERKN4sead7Vector3IfEE,"al::calcWaterSinkDepth(al::IUseAreaObj const*,sead::Vector3<float> const&)",0x71008051e4
,,_ZN2al16tryGetAreaObjArgEPiPKNS_7AreaObjEPKc,"al::tryGetAreaObjArg(int *,al::AreaObj const*,char const*)",0x7100805284
,,_ZN2al16tryGetAreaObjArgEPfPKNS_7AreaObjEPKc,"al::tryGetAreaObjArg(float *,al::AreaObj const*,char const*)",0x7100805298
,,_ZN2al16tryGetAreaObjArgEPbPKNS_7AreaObjEPKc,"al::tryGetAreaObjArg(bool *,al::AreaObj const*,char const*)",0x71008052ac
,,_ZN2al22tryGetAreaObjStringArgEPPKcPKNS_7AreaObjES1_,"al::tryGetAreaObjStringArg(char const**,al::AreaObj const*,char const*)",0x71008052c0
,,_ZN2al17getAreaObjBaseMtxEPKNS_7AreaObjE,al::getAreaObjBaseMtx(al::AreaObj const*),0x71008052d4
,,_ZN2al15getAreaObjScaleEPKNS_7AreaObjE,al::getAreaObjScale(al::AreaObj const*),0x71008052dc
,,_ZN2al18getAreaObjDirFrontEPN4sead7Vector3IfEEPKNS_7AreaObjE,"al::getAreaObjDirFront(sead::Vector3<float> *,al::AreaObj const*)",0x71008052e8
,,_ZN2al15getAreaObjDirUpEPN4sead7Vector3IfEEPKNS_7AreaObjE,"al::getAreaObjDirUp(sead::Vector3<float> *,al::AreaObj const*)",0x7100805304
,,_ZN2al17getAreaObjDirSideEPN4sead7Vector3IfEEPKNS_7AreaObjE,"al::getAreaObjDirSide(sead::Vector3<float> *,al::AreaObj const*)",0x7100805320
,,_ZN2al25calcNearestAreaObjEdgePosEPN4sead7Vector3IfEEPKNS_7AreaObjERKS2_,"al::calcNearestAreaObjEdgePos(sead::Vector3<float> *,al::AreaObj const*,sead::Vector3<float> const&)",0x710080533c
